Producer/Consumer Lab Statistics ,,
,Fill in every yellow cell,
,,
BankSim,Elapsed Time,Average Wait Time
Step 0,4.686,0.631
Step 1d,4.692,0.657
Step 2,N/A,N/A
,,
Bank3Sim,,
Step 3d,5.496,1.294
,,
Step 4g wait 1000,4.356,0.129
Step 4g wait 500,3.850,0.127
Step 4g wait 100,3.800,0.159
,,
Step 4h interrupt,3.312,0.108
,,
Step 5,3.212,0.1081
